SENSOR-1  SENSOR-2  SENSOR-3  MAJORITY  ALARM  DRAIN    RESET  ALARM_CNT
--------  --------  --------  --------  -----  -------  -----  ---------
NORMAL    NORMAL    NORMAL    NORMAL    --     CLOSED   --     0
NORMAL    NORMAL    NORMAL    NORMAL    --     CLOSED   --     0
NORMAL    NORMAL    NORMAL    NORMAL    --     CLOSED   --     0
NORMAL    NORMAL    NORMAL    NORMAL    --     CLOSED   --     0
HIGH      HIGH      HIGH      HIGH      --     CLOSED   --     0
HIGH      HIGH      HIGH      HIGH      ON     CLOSED   --     1
HIGH      HIGH      HIGH      HIGH      ON     CLOSED   --     1
HIGH      HIGH      HIGH      HIGH      ON     OPEN     --     1
HIGH      HIGH      HIGH      HIGH      ON     OPEN     --     1
HIGH      HIGH      HIGH      HIGH      ON     OPEN     --     1
HIGH      HIGH      HIGH      HIGH      ON     OPEN     --     1
HIGH      HIGH      HIGH      HIGH      ON     OPEN     --     1
HIGH      HIGH      HIGH      HIGH      ON     OPEN     ON     1
HIGH      HIGH      HIGH      HIGH      ON     OPEN     ON     1
HIGH      HIGH      HIGH      HIGH      ON     OPEN     ON     1
HIGH      HIGH      HIGH      HIGH      ON     OPEN     ON     1
NORMAL    NORMAL    NORMAL    NORMAL    ON     OPEN     ON     1
NORMAL    NORMAL    NORMAL    NORMAL    --     CLOSED   ON     1
NORMAL    NORMAL    NORMAL    NORMAL    --     CLOSED   --     1
NORMAL    NORMAL    NORMAL    NORMAL    --     CLOSED   --     1
NORMAL    NORMAL    HIGH      NORMAL    --     CLOSED   --     1
NORMAL    NORMAL    HIGH      NORMAL    --     CLOSED   --     1
NORMAL    NORMAL    HIGH      NORMAL    --     CLOSED   --     1
NORMAL    NORMAL    HIGH      NORMAL    --     CLOSED   --     1
NORMAL    NORMAL    NORMAL    NORMAL    --     CLOSED   --     1
NORMAL    NORMAL    NORMAL    NORMAL    --     CLOSED   --     1
